76025.00000000	0.01725260	0.00252147
76100.00000000	0.01464844	0.00000000
76175.00000000	0.01334635	0.00223505
76250.00000000	0.01009115	0.00126074
76325.00000000	0.00781250	0.00247604
76400.00000000	0.00488281	0.00000000
76475.00000000	0.00097656	0.00202168
76550.00000000	0.00000000	0.00000000
76625.00000000	0.00000000	0.00000000
76700.00000000	0.00000000	0.00000000
76775.00000000	0.00000000	0.00000000
76850.00000000	0.00000000	0.00000000
76925.00000000	0.00000000	0.00000000
77000.00000000	0.00000000	0.00000000
